Employee_ID,Job_Title,Industry,Country,Education_Level,Years_Experience,AI_Replacement_Risk,Future_Demand_Score,Remote_Work_Possibility,Average_Salary_USD
AIJ-100799,Digital Marketer,Media,Japan,Bachelor,10,0.33,0.94,Hybrid,219897
AIJ-100800,Software Developer,Government,Japan,PhD,10,0.91,0.9,Yes,60881
AIJ-100801,Data Scientist,Media,UAE,PhD,3,0.42,0.26,Hybrid,86788
AIJ-100802,Product Manager,Retail,USA,High School,5,0.27,0.83,No,111459
AIJ-100803,Business Analyst,Government,Pakistan,High School,1,0.5,0.26,Yes,205194
AIJ-100804,Blockchain Developer,Energy,UK,High School,23,0.83,0.61,No,182689
AIJ-100805,Software Developer,Government,UK,Master,0,0.41,0.88,Hybrid,206001
AIJ-100806,Cybersecurity Analyst,Education,Germany,Bachelor,14,0.89,0.73,Yes,98891
AIJ-100807,Cloud Architect,Healthcare,Japan,Bachelor,0,0.06,0.87,No,73063
AIJ-100808,Robotics Engineer,Retail,Japan,High School,23,0.12,0.73,Yes,107785
AIJ-100809,IoT Specialist,Media,Canada,Bachelor,14,0.66,0.86,Hybrid,134427
AIJ-100810,Data Engineer,Manufacturing,UAE,PhD,7,0.89,0.53,No,180082
AIJ-100811,HR Specialist,Media,Australia,PhD,21,0.91,0.22,Yes,214239
AIJ-100812,Machine Learning Engineer,Education,Pakistan,Master,21,0.54,0.27,Yes,74810
AIJ-100813,Cybersecurity Analyst,Government,UK,Master,18,0.71,0.61,No,75669
AIJ-100814,Digital Marketer,Media,Australia,Master,16,0.82,0.83,No,188640
AIJ-100815,Cybersecurity Analyst,Manufacturing,UK,Bachelor,17,0.87,0.75,No,145711
AIJ-100816,Teacher,Media,UAE,PhD,17,0.62,0.97,Yes,159734
AIJ-100817,Product Manager,Technology,Australia,Bachelor,21,0.76,0.62,Hybrid,208667
AIJ-100818,Healthcare Analyst,Manufacturing,India,Master,5,0.2,0.91,Hybrid,76113
AIJ-100819,Data Engineer,Government,Canada,Master,12,0.83,0.88,Yes,81004
AIJ-100820,Digital Marketer,Manufacturing,Singapore,Master,3,0.2,0.95,Yes,88104
AIJ-100821,UX Designer,Education,USA,Bachelor,9,0.73,0.81,Hybrid,105315
AIJ-100822,Cybersecurity Analyst,Manufacturing,Germany,PhD,9,0.35,0.39,Yes,39880
AIJ-100823,Digital Marketer,Energy,UAE,Master,1,0.71,0.95,Yes,55527
AIJ-100824,HR Specialist,Media,UAE,High School,19,0.39,0.62,Hybrid,61985
AIJ-100825,DevOps Engineer,Technology,Pakistan,PhD,25,0.55,0.92,No,142237
AIJ-100826,Robotics Engineer,Finance,Singapore,Bachelor,9,0.83,0.82,Hybrid,190864
AIJ-100827,Digital Marketer,Healthcare,Germany,Bachelor,20,0.39,0.38,Yes,199696
AIJ-100828,Teacher,Energy,Australia,PhD,4,0.32,0.87,No,167571
AIJ-100829,Product Manager,Education,UK,High School,23,0.88,0.43,Yes,48243
AIJ-100830,UX Designer,Transportation,UK,Bachelor,22,0.85,0.61,Hybrid,138886
AIJ-100831,UX Designer,Transportation,UK,PhD,4,0.28,0.97,Hybrid,177335
AIJ-100832,IoT Specialist,Finance,Canada,PhD,21,0.83,0.77,Yes,61701
AIJ-100833,Machine Learning Engineer,Healthcare,Australia,Master,21,0.87,0.37,Hybrid,137987
AIJ-100834,Blockchain Developer,Transportation,Germany,Bachelor,25,0.29,0.3,No,219998
AIJ-100835,Cybersecurity Analyst,Finance,USA,Master,7,0.05,0.65,Hybrid,145380
AIJ-100836,Software Developer,Manufacturing,Australia,High School,17,0.18,0.84,Yes,55835
AIJ-100837,Product Manager,Manufacturing,UK,Bachelor,20,0.67,0.77,Hybrid,127568
AIJ-100838,Business Analyst,Government,Canada,High School,24,0.11,0.86,Yes,72730
AIJ-100839,Cybersecurity Analyst,Education,Japan,PhD,2,0.87,0.66,Hybrid,153233
AIJ-100840,Teacher,Healthcare,Canada,High School,12,0.73,0.31,No,60190
AIJ-100841,HR Specialist,Education,Australia,PhD,10,0.72,0.37,Yes,106968
AIJ-100842,Prompt Engineer,Media,UK,Master,0,0.31,0.82,Hybrid,209055
AIJ-100843,Data Scientist,Education,Japan,Master,4,0.76,0.84,Hybrid,201745
AIJ-100844,Business Analyst,Technology,India,High School,23,0.38,0.44,Yes,64166
AIJ-100845,DevOps Engineer,Energy,Japan,High School,13,0.45,0.77,Yes,52380
AIJ-100846,Financial Analyst,Energy,UAE,PhD,11,0.27,0.3,No,191516
AIJ-100847,Blockchain Developer,Energy,USA,High School,1,0.15,0.86,Hybrid,95824
AIJ-100848,DevOps Engineer,Media,USA,High School,16,0.74,0.27,Yes,72434
AIJ-100849,AI Engineer,Transportation,Germany,Master,2,0.09,0.56,Yes,94619
AIJ-100850,Financial Analyst,Transportation,Australia,PhD,19,0.36,0.88,No,207305
AIJ-100851,HR Specialist,Healthcare,Singapore,Bachelor,4,0.44,0.32,Hybrid,122598
AIJ-100852,Cloud Architect,Retail,USA,High School,23,0.45,0.58,Hybrid,152515
AIJ-100853,HR Specialist,Retail,Japan,PhD,12,0.28,0.68,Hybrid,39934
AIJ-100854,Software Developer,Education,UAE,Master,1,0.14,0.92,No,56103
AIJ-100855,Software Developer,Technology,Germany,PhD,1,0.79,0.41,Hybrid,142928
AIJ-100856,HR Specialist,Media,Japan,PhD,4,0.26,0.74,Yes,191273
AIJ-100857,Blockchain Developer,Manufacturing,Singapore,Bachelor,18,0.32,0.31,No,61520
AIJ-100858,Robotics Engineer,Government,Australia,High School,24,0.81,0.5,Hybrid,52315
AIJ-100859,IoT Specialist,Technology,India,High School,18,0.4,0.95,No,205708
AIJ-100860,Data Engineer,Media,Germany,Master,23,0.49,0.73,No,211123
AIJ-100861,Teacher,Energy,USA,Master,14,0.4,0.4,Hybrid,99423
AIJ-100862,HR Specialist,Education,India,PhD,17,0.54,0.3,Hybrid,161735
AIJ-100863,HR Specialist,Education,Pakistan,Bachelor,6,0.13,0.26,Hybrid,59608
AIJ-100864,Data Scientist,Finance,Pakistan,Master,24,0.41,0.82,No,213587
AIJ-100865,Cybersecurity Analyst,Media,UK,Master,19,0.11,0.8,Hybrid,156940
AIJ-100866,Digital Marketer,Manufacturing,Japan,Bachelor,12,0.29,0.61,Hybrid,57416
AIJ-100867,Healthcare Analyst,Manufacturing,Japan,Master,10,0.56,0.74,Hybrid,53670
AIJ-100868,DevOps Engineer,Technology,Germany,PhD,6,0.37,0.26,No,50606
AIJ-100869,HR Specialist,Retail,UK,Master,16,0.09,0.67,Hybrid,200741
AIJ-100870,Healthcare Analyst,Energy,Pakistan,PhD,24,0.44,0.33,No,111459
AIJ-100871,Prompt Engineer,Energy,UK,Bachelor,24,0.27,0.82,No,97656
AIJ-100872,Robotics Engineer,Finance,UAE,PhD,15,0.82,0.29,Hybrid,69886
AIJ-100873,UX Designer,Media,Singapore,PhD,1,0.13,0.92,Yes,161952
AIJ-100874,Data Scientist,Retail,UAE,Bachelor,22,0.59,0.94,No,146415
AIJ-100875,DevOps Engineer,Manufacturing,Japan,PhD,24,0.73,0.58,Hybrid,89762
AIJ-100876,AI Engineer,Technology,Australia,Master,9,0.84,0.49,Hybrid,100347
AIJ-100877,Data Engineer,Government,UAE,High School,14,0.89,0.98,No,104833
AIJ-100878,Data Scientist,Media,USA,High School,19,0.12,0.58,No,217227
AIJ-100879,Robotics Engineer,Technology,USA,High School,16,0.61,0.38,Yes,90166
AIJ-100880,DevOps Engineer,Technology,Singapore,Bachelor,17,0.65,0.48,No,98652
AIJ-100881,Data Engineer,Energy,Japan,PhD,18,0.91,0.6,Hybrid,96966
AIJ-100882,Digital Marketer,Technology,Canada,PhD,22,0.45,0.31,No,128786
AIJ-100883,Machine Learning Engineer,Government,Germany,Bachelor,16,0.64,0.59,Hybrid,132733
AIJ-100884,Product Manager,Energy,UAE,PhD,12,0.85,0.21,Yes,211315
AIJ-100885,Robotics Engineer,Technology,Germany,Master,10,0.22,0.5,Hybrid,54363
AIJ-100886,Cloud Architect,Technology,USA,Bachelor,23,0.83,0.67,Yes,207283
AIJ-100887,Prompt Engineer,Energy,India,High School,2,0.44,0.97,Yes,205228
AIJ-100888,UX Designer,Government,UAE,High School,16,0.6,0.93,Hybrid,185053
AIJ-100889,DevOps Engineer,Media,Singapore,High School,15,0.76,0.62,Hybrid,171540
AIJ-100890,Teacher,Education,UK,High School,2,0.46,0.5,Yes,211721
AIJ-100891,Financial Analyst,Manufacturing,Singapore,Master,3,0.89,0.94,No,150844
AIJ-100892,Software Developer,Energy,India,Bachelor,5,0.13,0.76,Yes,135594
AIJ-100893,AI Engineer,Manufacturing,Australia,Bachelor,0,0.36,0.43,Hybrid,157429
AIJ-100894,Machine Learning Engineer,Education,UK,Master,15,0.42,0.95,Yes,150417
AIJ-100895,DevOps Engineer,Healthcare,Australia,Master,0,0.7,0.39,No,65717
AIJ-100896,Healthcare Analyst,Finance,Australia,High School,23,0.15,0.84,Yes,52589
AIJ-100897,Cybersecurity Analyst,Media,Japan,Master,17,0.91,0.4,Hybrid,213674
AIJ-100898,DevOps Engineer,Healthcare,Japan,Bachelor,15,0.28,0.96,Yes,60295
AIJ-100899,Robotics Engineer,Education,Pakistan,PhD,8,0.25,0.34,Hybrid,152754
AIJ-100900,Robotics Engineer,Media,Singapore,Bachelor,17,0.25,0.77,No,95895
AIJ-100901,AI Engineer,Energy,Pakistan,PhD,19,0.45,0.55,No,102535
AIJ-100902,Robotics Engineer,Technology,Japan,High School,7,0.15,0.59,Yes,213458
AIJ-100903,Healthcare Analyst,Retail,Canada,Bachelor,0,0.42,0.69,Yes,91291
AIJ-100904,Machine Learning Engineer,Manufacturing,Japan,Master,14,0.12,0.29,Hybrid,86255
AIJ-100905,Financial Analyst,Technology,Germany,High School,1,0.37,0.79,Yes,206703
AIJ-100906,DevOps Engineer,Technology,Singapore,Master,2,0.16,0.22,Yes,86233
AIJ-100907,HR Specialist,Manufacturing,UK,High School,11,0.73,0.92,No,209837
AIJ-100908,Digital Marketer,Transportation,Singapore,Master,22,0.45,0.41,Hybrid,212308
AIJ-100909,Healthcare Analyst,Manufacturing,USA,Bachelor,5,0.46,0.8,Hybrid,71202
AIJ-100910,HR Specialist,Finance,Germany,Bachelor,9,0.22,0.25,No,78960
AIJ-100911,Cybersecurity Analyst,Energy,Australia,PhD,7,0.27,0.32,Yes,60578
AIJ-100912,Prompt Engineer,Technology,Germany,Bachelor,13,0.58,0.53,Hybrid,73905
AIJ-100913,Cybersecurity Analyst,Manufacturing,UK,Bachelor,22,0.16,0.92,Hybrid,60024
AIJ-100914,Financial Analyst,Government,Canada,PhD,3,0.57,0.59,Yes,31120
AIJ-100915,Digital Marketer,Transportation,Singapore,Bachelor,2,0.09,0.24,Hybrid,119042
AIJ-100916,IoT Specialist,Finance,USA,High School,5,0.95,0.31,Hybrid,219368
AIJ-100917,Business Analyst,Finance,Singapore,High School,2,0.3,0.98,No,201660
AIJ-100918,Software Developer,Education,UK,Bachelor,22,0.93,0.42,No,217274
AIJ-100919,UX Designer,Energy,Germany,High School,21,0.43,0.9,Yes,136734
AIJ-100920,Cybersecurity Analyst,Energy,Canada,PhD,9,0.07,0.33,No,186818
AIJ-100921,Business Analyst,Healthcare,Australia,PhD,0,0.4,0.32,Hybrid,51275
AIJ-100922,Financial Analyst,Manufacturing,USA,Master,18,0.13,0.6,No,133210
AIJ-100923,Blockchain Developer,Education,UK,Bachelor,12,0.32,0.68,Yes,73850
AIJ-100924,AI Engineer,Media,UAE,High School,23,0.19,0.74,Hybrid,164542
AIJ-100925,Blockchain Developer,Finance,Pakistan,High School,11,0.27,0.31,Hybrid,103854
AIJ-100926,UX Designer,Manufacturing,UAE,PhD,22,0.42,0.5,Hybrid,218420
AIJ-100927,Prompt Engineer,Energy,Japan,PhD,25,0.56,0.98,Yes,101002
AIJ-100928,Teacher,Finance,Pakistan,Master,18,0.78,0.35,No,134621
AIJ-100929,AI Engineer,Retail,Singapore,Bachelor,7,0.21,0.3,Yes,104950
AIJ-100930,Cloud Architect,Transportation,Singapore,Master,5,0.86,0.22,Yes,199244
AIJ-100931,IoT Specialist,Technology,Canada,PhD,6,0.77,0.41,Hybrid,208330
AIJ-100932,Healthcare Analyst,Energy,Germany,Bachelor,14,0.17,0.54,Yes,208773
AIJ-100933,AI Engineer,Technology,UK,PhD,21,0.63,0.72,Yes,41961
AIJ-100934,IoT Specialist,Finance,USA,Bachelor,3,0.53,0.7,Yes,52765
AIJ-100935,Financial Analyst,Education,Germany,Bachelor,5,0.36,0.77,Yes,191315
AIJ-100936,Financial Analyst,Education,UK,Bachelor,13,0.48,0.75,No,88211
AIJ-100937,Product Manager,Finance,Germany,PhD,1,0.6,0.82,Yes,61665
AIJ-100938,Prompt Engineer,Transportation,Germany,Master,14,0.69,0.41,No,97704
AIJ-100939,HR Specialist,Finance,UK,Bachelor,23,0.95,0.47,No,205729
AIJ-100940,Cloud Architect,Media,USA,Master,12,0.83,0.39,Hybrid,199804
AIJ-100941,Prompt Engineer,Technology,Singapore,Master,21,0.11,0.81,No,75748
AIJ-100942,Cybersecurity Analyst,Manufacturing,Canada,PhD,23,0.56,0.83,No,194156
AIJ-100943,AI Engineer,Transportation,USA,Bachelor,0,0.46,0.59,No,78460
AIJ-100944,DevOps Engineer,Government,Australia,PhD,17,0.9,0.65,Hybrid,217813
AIJ-100945,Prompt Engineer,Technology,UAE,Master,22,0.94,0.35,Hybrid,144779
AIJ-100946,Robotics Engineer,Education,USA,Master,5,0.13,0.81,Yes,116197
AIJ-100947,AI Engineer,Technology,UK,PhD,17,0.77,0.42,No,31805
AIJ-100948,AI Engineer,Retail,Pakistan,High School,0,0.4,0.47,No,211043
AIJ-100949,Financial Analyst,Finance,Japan,PhD,7,0.15,0.7,No,200412
AIJ-100950,Robotics Engineer,Education,Canada,Master,19,0.47,0.73,No,141821
AIJ-100951,Digital Marketer,Retail,India,High School,25,0.84,0.94,No,106587
AIJ-100952,Data Engineer,Finance,UK,Bachelor,1,0.84,0.41,Hybrid,167841
AIJ-100953,Software Developer,Technology,UK,High School,15,0.95,0.8,Yes,146796
AIJ-100954,Robotics Engineer,Energy,Canada,Bachelor,23,0.09,0.42,Hybrid,143465
AIJ-100955,Business Analyst,Manufacturing,Japan,Master,20,0.37,0.76,Hybrid,132657
AIJ-100956,Cybersecurity Analyst,Education,Singapore,Master,1,0.34,0.51,Yes,52188
AIJ-100957,Data Scientist,Retail,Germany,PhD,22,0.29,0.36,Hybrid,58254
AIJ-100958,AI Engineer,Finance,Canada,PhD,14,0.56,0.42,No,182716
AIJ-100959,Healthcare Analyst,Finance,UAE,Master,23,0.6,0.42,Yes,132457
AIJ-100960,Digital Marketer,Education,India,PhD,14,0.23,0.21,No,35758
AIJ-100961,Machine Learning Engineer,Retail,Pakistan,Bachelor,1,0.73,0.45,Yes,44854
AIJ-100962,Data Scientist,Healthcare,UAE,Bachelor,5,0.54,0.56,Hybrid,182443
AIJ-100963,Machine Learning Engineer,Retail,USA,PhD,11,0.42,0.69,Hybrid,187475
AIJ-100964,Healthcare Analyst,Energy,Australia,Master,22,0.59,0.83,No,183336
AIJ-100965,Product Manager,Technology,Germany,Master,22,0.93,0.29,Hybrid,150033
AIJ-100966,UX Designer,Manufacturing,UK,Master,23,0.14,0.97,Yes,191808
AIJ-100967,Software Developer,Healthcare,Australia,Bachelor,12,0.07,0.88,Hybrid,69230
AIJ-100968,Robotics Engineer,Media,Singapore,PhD,16,0.31,0.55,Hybrid,34855
AIJ-100969,UX Designer,Government,UK,PhD,13,0.22,0.74,Hybrid,160242
AIJ-100970,Financial Analyst,Media,Canada,Bachelor,25,0.19,0.53,Hybrid,134691
AIJ-100971,Healthcare Analyst,Government,Australia,Bachelor,13,0.25,0.32,Yes,113295
AIJ-100972,Data Scientist,Media,Pakistan,High School,6,0.35,0.4,Yes,164839
AIJ-100973,Cybersecurity Analyst,Manufacturing,India,High School,22,0.82,0.27,No,75323
AIJ-100974,Robotics Engineer,Retail,UK,High School,1,0.29,0.62,No,132095
AIJ-100975,Teacher,Energy,UK,Bachelor,9,0.72,0.81,Hybrid,61130
AIJ-100976,Business Analyst,Healthcare,India,PhD,16,0.31,0.68,Hybrid,169433
AIJ-100977,AI Engineer,Education,Australia,PhD,13,0.23,0.78,Yes,35217
AIJ-100978,Healthcare Analyst,Technology,Pakistan,Bachelor,8,0.41,0.89,Yes,31008
AIJ-100979,DevOps Engineer,Education,Germany,Bachelor,17,0.53,0.54,Yes,149901
AIJ-100980,Machine Learning Engineer,Energy,UAE,High School,7,0.92,0.92,No,135510
AIJ-100981,Financial Analyst,Finance,UAE,High School,16,0.66,0.87,No,88669
AIJ-100982,Product Manager,Healthcare,India,Bachelor,24,0.06,0.91,Yes,171092
AIJ-100983,IoT Specialist,Finance,USA,Bachelor,22,0.54,0.44,No,203209
AIJ-100984,HR Specialist,Finance,Pakistan,Master,7,0.23,0.69,Hybrid,185497
AIJ-100985,HR Specialist,Retail,Canada,PhD,18,0.18,0.69,Hybrid,140900
AIJ-100986,Product Manager,Retail,Canada,PhD,14,0.91,0.35,Yes,189452
AIJ-100987,Machine Learning Engineer,Media,Australia,High School,10,0.29,0.45,Yes,188578
AIJ-100988,Financial Analyst,Media,Canada,Bachelor,0,0.21,0.62,Hybrid,96234
AIJ-100989,Data Scientist,Finance,UAE,Master,0,0.36,0.98,Yes,92013
AIJ-100990,Business Analyst,Transportation,Singapore,Master,13,0.14,0.41,No,178198
AIJ-100991,AI Engineer,Education,India,Master,9,0.43,0.9,No,62211
AIJ-100992,Financial Analyst,Government,Japan,PhD,15,0.76,0.3,Yes,114831
AIJ-100993,Prompt Engineer,Retail,Singapore,Master,21,0.08,0.59,No,155934
AIJ-100994,Financial Analyst,Education,Canada,Bachelor,22,0.12,0.31,Hybrid,117298
AIJ-100995,Digital Marketer,Government,Pakistan,Master,22,0.75,0.62,Hybrid,173019
AIJ-100996,Teacher,Healthcare,UAE,High School,1,0.93,0.46,No,126532
AIJ-100997,Robotics Engineer,Transportation,Singapore,Master,3,0.62,0.48,No,67000
AIJ-100998,Cloud Architect,Media,Germany,PhD,2,0.51,0.22,Yes,81179
AIJ-100999,Robotics Engineer,Media,Australia,Bachelor,10,0.48,0.58,Hybrid,32527
AIJ-101000,Product Manager,Government,Canada,Master,13,0.78,0.6,Hybrid,56614
AIJ-101001,Teacher,Government,India,PhD,20,0.24,0.51,No,184051
AIJ-101002,Healthcare Analyst,Finance,Canada,High School,17,0.26,0.21,Hybrid,91329
AIJ-101003,Healthcare Analyst,Government,Pakistan,Bachelor,16,0.87,0.49,Hybrid,158523
AIJ-101004,Cybersecurity Analyst,Transportation,USA,Master,24,0.63,0.92,Hybrid,148450
AIJ-101005,Business Analyst,Media,Singapore,Master,24,0.21,0.37,No,37781
AIJ-101006,HR Specialist,Finance,Canada,PhD,14,0.61,0.92,Hybrid,218779
AIJ-101007,Healthcare Analyst,Education,UK,PhD,0,0.47,0.79,Hybrid,205357
AIJ-101008,DevOps Engineer,Technology,Japan,High School,22,0.83,0.48,Hybrid,93792
AIJ-101009,Product Manager,Transportation,Germany,PhD,24,0.41,0.92,No,212756
AIJ-101010,Cybersecurity Analyst,Manufacturing,India,PhD,21,0.54,0.97,Yes,142774
AIJ-101011,Software Developer,Media,Germany,PhD,15,0.4,0.74,Yes,41164
AIJ-101012,DevOps Engineer,Healthcare,USA,High School,19,0.78,0.4,Hybrid,214757
AIJ-101013,Software Developer,Transportation,Germany,High School,8,0.22,0.64,Yes,30320
AIJ-101014,DevOps Engineer,Government,USA,PhD,15,0.76,0.93,No,180823
AIJ-101015,Digital Marketer,Manufacturing,Singapore,PhD,4,0.73,0.48,No,215312
AIJ-101016,Business Analyst,Retail,Germany,High School,16,0.75,0.8,No,39205
AIJ-101017,Data Scientist,Government,Canada,Master,6,0.13,0.77,Hybrid,188608
AIJ-101018,Cybersecurity Analyst,Government,USA,Master,14,0.81,0.88,No,90986
AIJ-101019,Cybersecurity Analyst,Technology,Japan,PhD,22,0.95,0.39,Hybrid,174398
AIJ-101020,DevOps Engineer,Education,UK,Bachelor,11,0.72,0.98,Yes,180558
AIJ-101021,Business Analyst,Retail,Australia,PhD,3,0.53,0.69,Hybrid,39291
AIJ-101022,Prompt Engineer,Energy,UK,High School,18,0.59,0.82,No,91982
AIJ-101023,Data Scientist,Technology,UAE,Bachelor,19,0.17,0.95,No,177609
AIJ-101024,Data Scientist,Retail,Pakistan,Master,23,0.4,0.31,No,61444
AIJ-101025,Software Developer,Finance,Pakistan,Bachelor,2,0.79,0.8,Hybrid,106843
AIJ-101026,Prompt Engineer,Government,USA,Bachelor,21,0.77,0.57,Yes,77263
AIJ-101027,Prompt Engineer,Technology,UK,High School,3,0.37,0.63,Hybrid,59346
AIJ-101028,DevOps Engineer,Finance,Germany,PhD,12,0.76,0.92,Yes,164662
AIJ-101029,Cybersecurity Analyst,Energy,India,High School,1,0.31,0.87,No,64243
AIJ-101030,Machine Learning Engineer,Healthcare,Germany,PhD,10,0.45,0.95,No,162165
AIJ-101031,AI Engineer,Technology,USA,PhD,7,0.84,0.8,No,30518
AIJ-101032,Cybersecurity Analyst,Energy,Japan,Bachelor,7,0.42,0.2,Yes,181950
AIJ-101033,Data Engineer,Energy,UAE,Master,12,0.32,0.98,Yes,51548
AIJ-101034,Healthcare Analyst,Healthcare,Japan,Master,22,0.89,0.61,No,52324
AIJ-101035,DevOps Engineer,Technology,UAE,Master,12,0.34,0.39,Hybrid,138232
AIJ-101036,Software Developer,Media,Canada,Bachelor,4,0.29,0.71,Hybrid,34202
AIJ-101037,Healthcare Analyst,Finance,UAE,Bachelor,25,0.85,0.59,No,210571
AIJ-101038,Software Developer,Media,Pakistan,High School,17,0.19,0.27,Yes,176804
AIJ-101039,DevOps Engineer,Energy,USA,High School,2,0.59,0.37,Yes,99337
AIJ-101040,UX Designer,Media,Pakistan,High School,15,0.37,0.3,Hybrid,201668
AIJ-101041,Robotics Engineer,Energy,USA,High School,19,0.93,0.53,Yes,87347
AIJ-101042,Machine Learning Engineer,Finance,Pakistan,High School,23,0.12,0.99,Hybrid,170183
AIJ-101043,Blockchain Developer,Energy,Singapore,PhD,16,0.94,0.96,No,192896
AIJ-101044,IoT Specialist,Retail,UK,Bachelor,7,0.78,0.44,No,178275
AIJ-101045,Teacher,Manufacturing,UK,Master,8,0.76,0.54,Hybrid,96264
AIJ-101046,Blockchain Developer,Education,USA,PhD,7,0.54,0.26,No,68470
AIJ-101047,Cloud Architect,Technology,UK,High School,5,0.83,0.21,No,55779
AIJ-101048,Data Scientist,Education,UAE,Bachelor,3,0.6,0.95,Hybrid,141118
AIJ-101049,Business Analyst,Retail,UAE,High School,7,0.13,0.42,Yes,33461
AIJ-101050,Product Manager,Retail,Canada,Master,20,0.67,0.69,No,43350
AIJ-101051,Product Manager,Transportation,Singapore,High School,15,0.07,0.93,Yes,176305
AIJ-101052,Teacher,Government,Australia,Master,15,0.93,0.32,No,83163
AIJ-101053,Data Engineer,Manufacturing,Pakistan,PhD,16,0.54,0.73,Yes,217778
AIJ-101054,Teacher,Energy,Singapore,Master,14,0.16,0.66,No,130781
AIJ-101055,DevOps Engineer,Retail,UK,PhD,2,0.13,0.24,Yes,60261
AIJ-101056,Cybersecurity Analyst,Education,USA,High School,9,0.31,0.88,Yes,161960
AIJ-101057,Robotics Engineer,Energy,Germany,Bachelor,21,0.74,0.76,Hybrid,131747
AIJ-101058,DevOps Engineer,Healthcare,Pakistan,PhD,7,0.49,0.85,Hybrid,183408
AIJ-101059,Healthcare Analyst,Manufacturing,India,Bachelor,12,0.74,0.59,Hybrid,55811
AIJ-101060,Cybersecurity Analyst,Transportation,Canada,High School,14,0.47,0.31,Yes,123874
AIJ-101061,Product Manager,Technology,UK,PhD,9,0.49,0.44,Yes,89839
AIJ-101062,Machine Learning Engineer,Media,Singapore,Master,1,0.53,0.98,No,148192
AIJ-101063,Software Developer,Manufacturing,Japan,Bachelor,6,0.92,0.52,Hybrid,139463
AIJ-101064,Financial Analyst,Technology,Singapore,Bachelor,15,0.38,0.39,Yes,31579
AIJ-101065,Product Manager,Government,UAE,PhD,22,0.42,0.25,No,154174
AIJ-101066,Business Analyst,Finance,USA,Bachelor,5,0.41,0.86,Hybrid,149391
AIJ-101067,Financial Analyst,Healthcare,India,Master,17,0.75,0.32,No,172395
AIJ-101068,HR Specialist,Media,USA,High School,8,0.08,0.34,Yes,138320
AIJ-101069,Data Scientist,Technology,India,Bachelor,6,0.85,0.23,Yes,119766
AIJ-101070,AI Engineer,Energy,Pakistan,Master,1,0.05,0.38,Yes,177540
AIJ-101071,Cloud Architect,Energy,Germany,Master,20,0.54,0.27,Yes,180101
AIJ-101072,HR Specialist,Transportation,India,Master,0,0.63,0.48,No,83846
AIJ-101073,HR Specialist,Finance,Japan,High School,5,0.06,0.76,Yes,57074
AIJ-101074,Machine Learning Engineer,Technology,UK,Bachelor,11,0.36,0.35,Yes,84077
AIJ-101075,Digital Marketer,Energy,Japan,Master,22,0.35,0.77,Yes,38753
AIJ-101076,Digital Marketer,Healthcare,UK,Master,24,0.53,0.47,No,171129
AIJ-101077,IoT Specialist,Transportation,India,Master,8,0.92,0.52,Yes,49727
AIJ-101078,Digital Marketer,Healthcare,UAE,Master,7,0.17,0.51,Hybrid,49926
AIJ-101079,Blockchain Developer,Education,USA,High School,18,0.07,0.69,Hybrid,61579
AIJ-101080,Healthcare Analyst,Healthcare,India,Bachelor,23,0.26,0.46,Yes,32603
AIJ-101081,Software Developer,Healthcare,Singapore,Bachelor,22,0.39,0.79,No,64417
AIJ-101082,HR Specialist,Education,Germany,Bachelor,24,0.09,0.59,Yes,130192
AIJ-101083,Product Manager,Media,Germany,Bachelor,24,0.35,0.6,No,124182
AIJ-101084,Healthcare Analyst,Manufacturing,Canada,PhD,5,0.75,0.49,Hybrid,86808
AIJ-101085,Data Scientist,Healthcare,UK,Bachelor,7,0.22,0.8,No,77259
AIJ-101086,AI Engineer,Government,Pakistan,PhD,6,0.41,0.41,Yes,119834
AIJ-101087,Software Developer,Finance,India,PhD,2,0.74,0.63,Yes,76566
AIJ-101088,AI Engineer,Transportation,Australia,Bachelor,12,0.15,0.74,No,139572
AIJ-101089,Cloud Architect,Education,Germany,PhD,3,0.79,0.72,Yes,88440
AIJ-101090,Blockchain Developer,Finance,UAE,PhD,21,0.86,0.43,No,81544
AIJ-101091,Cloud Architect,Media,Singapore,PhD,0,0.78,0.57,Yes,119176
AIJ-101092,Machine Learning Engineer,Education,India,Master,13,0.74,0.26,No,160078
AIJ-101093,Machine Learning Engineer,Education,Singapore,PhD,23,0.56,0.42,Hybrid,152581
AIJ-101094,Teacher,Technology,USA,Bachelor,15,0.7,0.39,Hybrid,184656
AIJ-101095,Cybersecurity Analyst,Media,UAE,Master,13,0.24,0.24,No,128350
AIJ-101096,Software Developer,Transportation,UAE,Bachelor,18,0.72,0.65,Yes,45678
AIJ-101097,Digital Marketer,Education,UAE,Master,13,0.84,0.23,Hybrid,39569
AIJ-101098,HR Specialist,Retail,Canada,High School,24,0.43,0.9,Hybrid,154616
AIJ-101099,Teacher,Media,UAE,PhD,0,0.78,0.75,Hybrid,211822
AIJ-101100,Cybersecurity Analyst,Media,Australia,PhD,0,0.63,0.64,No,213542
AIJ-101101,Cybersecurity Analyst,Government,Singapore,Bachelor,15,0.74,0.6,Yes,191404
AIJ-101102,Robotics Engineer,Finance,USA,Bachelor,22,0.6,0.34,Hybrid,183960
AIJ-101103,Blockchain Developer,Technology,Australia,Bachelor,2,0.75,0.68,Hybrid,139719
AIJ-101104,Software Developer,Healthcare,UAE,High School,13,0.76,0.84,No,212812
